Name,Specialty,Primary_Cancer_Focus,Provider,Seniority_Tier,Review_Count,Est_Monthly_Patients
Young Kwang Chae MD,Hematology and Medical Oncology,"Breast Cancer, Gastrointestinal Cancer, Genitourinary Cancers, Lung Cancer, Mesothelioma, Thymic Cancer",Northwestern Memorial Hospital - Lurie Cancer Center,High,1012,163
Lisa E. Flaum MD,Hematology and Medical Oncology,Breast Cancer,Northwestern Memorial Hospital - Prentice Women's Hospital,Mid,1979,166
Rozina A. Chowdhery MD,Hematology and Medical Oncology,"Breast Cancer, Gastrointestinal Cancer, Genitourinary Cancers, Lung Cancer, Kidney Cancer",Northwestern Memorial Hospital - Old Irving Park Outpatient Center,Mid,387,129
Valerie M. Nelson MD,Hematology and Medical Oncology,"Breast Cancer, Colon Cancer, Lung Cancer, Lymphoma, Non-Hodgkin Lymphoma, Pancreas Cancer, Prostate Cancer",NM Glenview Outpatient Center / Lake Forest Hospital,Mid,2059,167
Adam E. Prescott MD,Hematology and Medical Oncology,"Breast Cancer, Gastrointestinal Cancer, Genitourinary Cancers, Head and Neck Cancer, Lung Cancer, Lymphoma, Multiple Myeloma, Myelodysplastic Syndromes",NM Lake Forest / Grayslake Cancer Center,Mid,169,124
Al B. Benson III MD,Medical Oncology,"Colon Cancer, Esophageal Cancer, Gastroesophageal Junction Cancer, Liver Cancer, Neuroendocrine Tumor, Pancreas Cancer",Northwestern Memorial Hospital - Lurie Cancer Center,High,322,147
Leonidas C. Platanias MD,Medical Oncology,"Acute Leukemias, Myelodysplastic Syndromes",Northwestern Memorial Hospital - Lurie Cancer Center,High,0,140
William J. Gradishar MD,Medical Oncology,"Breast Cancer, Inflammatory Breast Cancer, Triple Negative Breast Cancer, Precision Medicine",Northwestern Memorial Hospital - Prentice Women's Hospital,High,2232,191
Timothy M. Kuzel MD,Medical Oncology,"Melanoma, Prostate Cancer, Kidney Cancer, Bladder Cancer, Skin Cancer, Genitourinary Cancers",NM Orland Park / Palos Hospital,High,709,156
Emma L. Barber MD,Gynecologic Oncology,"Gynecologic Cancers, Ovarian Cancer, Cervical Cancer, Uterine Cancer",Northwestern Memorial Hospital - Prentice Women's Hospital,Early,1079,125
Raanan Y. Alter MD,Gynecologic Oncology,"Gynecologic Cancers, Ovarian Cancer, Cervical Cancer, Uterine Cancer",NM Winfield / Warrenville / Delnor Hospital,Mid,1340,151
Shilajit D. Kundu MD,Urologic Oncology,"Prostate Cancer, Bladder Cancer, Kidney Cancer, Testicular Cancer, Penile Cancer",Northwestern Memorial Hospital - Lurie Cancer Center,High,2608,200
